CustomerID,Cluster
C0001,2
C0002,2
C0003,4
C0004,0
C0005,2
C0006,4
C0007,2
C0008,5
C0009,3
C0010,2
C0011,2
C0012,0
C0013,0
C0014,3
C0015,2
C0016,1
C0017,0
C0018,4
C0019,5
C0020,6
C0021,0
C0022,1
C0023,0
C0024,5
C0025,2
C0026,1
C0027,2
C0028,0
C0029,2
C0030,5
C0031,5
C0032,3
C0033,3
C0034,5
C0035,1
C0036,6
C0037,4
C0038,2
C0039,4
C0040,4
C0041,0
C0042,1
C0043,3
C0044,1
C0045,0
C0046,0
C0047,5
C0048,5
C0049,5
C0050,6
C0051,0
C0052,1
C0053,0
C0054,0
C0055,5
C0056,5
C0057,1
C0058,3
C0059,0
C0060,3
C0061,2
C0062,2
C0063,1
C0064,1
C0065,0
C0066,4
C0067,1
C0068,0
C0069,5
C0070,2
C0071,2
C0072,1
C0073,2
C0074,2
C0075,0
C0076,5
C0077,5
C0078,6
C0079,4
C0080,6
C0081,1
C0082,0
C0083,3
C0084,5
C0085,1
C0086,2
C0087,0
C0088,5
C0089,4
C0090,5
C0091,4
C0092,1
C0093,0
C0094,5
C0095,2
C0096,4
C0097,3
C0098,5
C0099,0
C0100,1
C0101,0
C0102,0
C0103,2
C0104,0
C0105,1
C0106,2
C0107,1
C0108,0
C0109,0
C0110,6
C0111,1
C0112,2
C0113,0
C0114,4
C0115,1
C0116,5
C0117,1
C0118,2
C0119,3
C0120,2
C0121,3
C0122,0
C0123,1
C0124,5
C0125,2
C0126,1
C0127,5
C0128,3
C0129,1
C0130,3
C0131,2
C0132,2
C0133,2
C0134,2
C0135,2
C0136,4
C0137,1
C0138,4
C0139,5
C0140,1
C0141,0
C0142,1
C0143,0
C0144,6
C0145,0
C0146,5
C0147,5
C0148,4
C0149,4
C0150,3
C0151,6
C0152,2
C0153,0
C0154,5
C0155,0
C0156,0
C0157,5
C0158,1
C0159,2
C0160,2
C0161,5
C0162,0
C0163,4
C0164,1
C0165,0
C0166,2
C0167,6
C0168,4
C0169,4
C0170,4
C0171,4
C0172,5
C0173,0
C0174,2
C0175,0
C0176,6
C0177,1
C0178,1
C0179,2
C0180,3
C0181,5
C0182,4
C0183,1
C0184,5
C0185,6
C0186,2
C0187,1
C0188,0
C0189,5
C0190,1
C0191,1
C0192,2
C0193,2
C0194,5
C0195,5
C0196,4
C0197,2
C0198,2
C0199,2
C0200,4
